Product_name,Product_link,product_rating,product_price,product_sold,crawl_timestamp
"Balo Laptop chống sốc, ba lô đeo vai chất liệu vải sợi nilon polyeste dùng cho học sinh BL21 thời trang nam nữ dành",https://shopee.vn/Balo-Laptop-ch%E1%BB%91ng-s%E1%BB%91c-ba-l%C3%B4-%C4%91eo-vai-ch%E1%BA%A5t-li%E1%BB%87u-v%E1%BA%A3i-s%E1%BB%A3i-nilon-polyeste-d%C3%B9ng-cho-h%E1%BB%8Dc-sinh-BL21-th%E1%BB%9Di-trang-nam-n%E1%BB%AF-d%C3%A0nh-i.602884089.10474830797?sp_atk=d8aa03e3-a3d6-4c20-9dab-e42af223a810&xptdk=d8aa03e3-a3d6-4c20-9dab-e42af223a810,4.7,₫129.000,18000,2023-10-08 15:30:11.366873+07:00
"Balo Laptop chống sốc Cặp Đựng Laptop dùng đi học, đi làm, đi chơi có cổng sạc",https://shopee.vn/Balo-Laptop-ch%E1%BB%91ng-s%E1%BB%91c-C%E1%BA%B7p-%C4%90%E1%BB%B1ng-Laptop-d%C3%B9ng-%C4%91i-h%E1%BB%8Dc-%C4%91i-l%C3%A0m-%C4%91i-ch%C6%A1i-c%C3%B3-c%E1%BB%95ng-s%E1%BA%A1c-i.13986205.10986262833?sp_atk=6f070093-64d2-4e7d-a882-87132097694e&xptdk=6f070093-64d2-4e7d-a882-87132097694e,4.7,,10000,2023-10-08 15:30:17.148143+07:00
Balo NY siêu hot chống thấm nước,https://shopee.vn/Balo-NY-si%C3%AAu-hot-ch%E1%BB%91ng-th%E1%BA%A5m-n%C6%B0%E1%BB%9Bc-i.7575114.10425533290?sp_atk=c62fc5a6-c832-4d96-8e98-e6c4b32e81cf&xptdk=c62fc5a6-c832-4d96-8e98-e6c4b32e81cf,4.5,₫300.000,415,2023-10-08 15:30:20.942095+07:00
Túi trống gym dây kéo vàng adidas thể thao,https://shopee.vn/T%C3%BAi-tr%E1%BB%91ng-gym-d%C3%A2y-k%C3%A9o-v%C3%A0ng-adidas-th%E1%BB%83-thao-i.903748137.23608633592?sp_atk=6c6b6e79-f095-413a-a57a-05688bb7b7df&xptdk=6c6b6e79-f095-413a-a57a-05688bb7b7df,5.0,,253,2023-10-08 15:30:24.697553+07:00
"Balo laptop nam nữ 14 inch chống sốc, túi đựng máy tính rẻ đẹp thời trang có cổng sạc usb",https://shopee.vn/Balo-laptop-nam-n%E1%BB%AF-14-inch-ch%E1%BB%91ng-s%E1%BB%91c-t%C3%BAi-%C4%91%E1%BB%B1ng-m%C3%A1y-t%C3%ADnh-r%E1%BA%BB-%C4%91%E1%BA%B9p-th%E1%BB%9Di-trang-c%C3%B3-c%E1%BB%95ng-s%E1%BA%A1c-usb-i.552533872.13021917609?sp_atk=3c9d257d-0409-4d09-aec2-929d6b589784&xptdk=3c9d257d-0409-4d09-aec2-929d6b589784,4.8,,4000,2023-10-08 15:30:29.435367+07:00
Balo thời trang chống nước the north face Fuse box,https://shopee.vn/Balo-th%E1%BB%9Di-trang-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-the-north-face-Fuse-box-i.126041855.5432959087?sp_atk=4fedfcd6-ba75-4efb-a685-f51cfa17b77e&xptdk=4fedfcd6-ba75-4efb-a685-f51cfa17b77e,4.8,,166,2023-10-08 15:30:33.451693+07:00
Ba Lô Mini Chống Thấm Nước Chống Trộm Trọng Lượng Nhẹ Thời Trang Cho Nam Và Nữ 9.2,https://shopee.vn/Ba-L%C3%B4-Mini-Ch%E1%BB%91ng-Th%E1%BA%A5m-N%C6%B0%E1%BB%9Bc-Ch%E1%BB%91ng-Tr%E1%BB%99m-Tr%E1%BB%8Dng-L%C6%B0%E1%BB%A3ng-Nh%E1%BA%B9-Th%E1%BB%9Di-Trang-Cho-Nam-V%C3%A0-N%E1%BB%AF-9.2-i.842235688.19141422777?sp_atk=36a8466d-e562-46a8-be5f-6f309743d462&xptdk=36a8466d-e562-46a8-be5f-6f309743d462,4.7,,103,2023-10-08 15:30:37.276563+07:00
Dây cột tóc nữ Accessories phụ kiện tóc dễ thương phong cách đơn giản Local Brand M Midori Studio,https://shopee.vn/D%C3%A2y-c%E1%BB%99t-t%C3%B3c-n%E1%BB%AF-Accessories-ph%E1%BB%A5-ki%E1%BB%87n-t%C3%B3c-d%E1%BB%85-th%C6%B0%C6%A1ng-phong-c%C3%A1ch-%C4%91%C6%A1n-gi%E1%BA%A3n-Local-Brand-M-Midori-Studio-i.9770997.6731953419?sp_atk=7d4bb7d7-03cc-4e15-9e56-8d44e32c28ef&xptdk=7d4bb7d7-03cc-4e15-9e56-8d44e32c28ef,4.9,₫9.000,103,2023-10-08 15:30:41.089171+07:00
"Balo thời trang, đi học, đựng laptop - BALO NẮP QTK 2 Khoá",https://shopee.vn/Balo-th%E1%BB%9Di-trang-%C4%91i-h%E1%BB%8Dc-%C4%91%E1%BB%B1ng-laptop-BALO-N%E1%BA%AEP-QTK-2-Kho%C3%A1-i.64843176.4037151119?sp_atk=d9ebb9b1-ef04-4cf7-8b24-b4884b090ccc&xptdk=d9ebb9b1-ef04-4cf7-8b24-b4884b090ccc,4.5,,3000,2023-10-08 15:30:44.978438+07:00
Balo Thời Trang Nam Đựng Laptop Máy Tính Xách Tay Nhiều Ngăn Có Cổng Sạc Usb Thông Minh BL13 SUNO STORE,https://shopee.vn/Balo-Th%E1%BB%9Di-Trang-Nam-%C4%90%E1%BB%B1ng-Laptop-M%C3%A1y-T%C3%ADnh-X%C3%A1ch-Tay-Nhi%E1%BB%81u-Ng%C4%83n-C%C3%B3-C%E1%BB%95ng-S%E1%BA%A1c-Usb-Th%C3%B4ng-Minh-BL13-SUNO-STORE-i.502980462.13539318679?sp_atk=5c3ff026-f75d-4ee9-b682-ef617085e310&xptdk=5c3ff026-f75d-4ee9-b682-ef617085e310,4.5,₫35.000,94,2023-10-08 15:30:48.629786+07:00
"Balo laptop PADO thời trang nam nữ đi học đi làm 496 chất liệu chống thấm, chứa được tối đa laptop 15.6inch",https://shopee.vn/Balo-laptop-PADO-th%E1%BB%9Di-trang-nam-n%E1%BB%AF-%C4%91i-h%E1%BB%8Dc-%C4%91i-l%C3%A0m-496-ch%E1%BA%A5t-li%E1%BB%87u-ch%E1%BB%91ng-th%E1%BA%A5m-ch%E1%BB%A9a-%C4%91%C6%B0%E1%BB%A3c-t%E1%BB%91i-%C4%91a-laptop-15.6inch-i.319641612.13153612756?sp_atk=3e63bd49-ce4a-4469-9571-1cd8dd74e1e6&xptdk=3e63bd49-ce4a-4469-9571-1cd8dd74e1e6,4.8,₫299.000,102,2023-10-08 15:30:53.543144+07:00
Túi Chống Sốc Đựng Laptop STARGO LEDGER 14 Inch,https://shopee.vn/T%C3%BAi-Ch%E1%BB%91ng-S%E1%BB%91c-%C4%90%E1%BB%B1ng-Laptop-STARGO-LEDGER-14-Inch-i.46788019.3556849119?sp_atk=073e9c11-950c-4558-bd35-572898e9d4f4&xptdk=073e9c11-950c-4558-bd35-572898e9d4f4,4.9,,187,2023-10-08 15:30:58.450226+07:00
Balo laptop du lịch thẻ thao chống nước,https://shopee.vn/Balo-laptop-du-l%E1%BB%8Bch-th%E1%BA%BB-thao-ch%E1%BB%91ng-n%C6%B0%E1%BB%9Bc-i.126041855.2687842477?sp_atk=112344e3-6eaf-41aa-833f-ea16718c2b31&xptdk=112344e3-6eaf-41aa-833f-ea16718c2b31,4.9,,213,2023-10-08 15:31:02.210058+07:00
"Balo laptop Nam Nữ 15 6 inch chống sốc có cổng USB, túi đựng máy tính rẻ đẹp thời trang sang trọng",https://shopee.vn/Balo-laptop-Nam-N%E1%BB%AF-15-6-inch-ch%E1%BB%91ng-s%E1%BB%91c-c%C3%B3-c%E1%BB%95ng-USB-t%C3%BAi-%C4%91%E1%BB%B1ng-m%C3%A1y-t%C3%ADnh-r%E1%BA%BB-%C4%91%E1%BA%B9p-th%E1%BB%9Di-trang-sang-tr%E1%BB%8Dng-i.809930563.18024519365?sp_atk=006f81fa-dc5e-4bd8-b558-3e0f04901455&xptdk=006f81fa-dc5e-4bd8-b558-3e0f04901455,4.6,,205,2023-10-08 15:31:07.136605+07:00
"Combo balo 4 món thời trang ulzzang, Set balo 4 món đi học, balo 4 món - mèo hai khóa đọc sách kẹo",https://shopee.vn/Combo-balo-4-m%C3%B3n-th%E1%BB%9Di-trang-ulzzang-Set-balo-4-m%C3%B3n-%C4%91i-h%E1%BB%8Dc-balo-4-m%C3%B3n-m%C3%A8o-hai-kh%C3%B3a-%C4%91%E1%BB%8Dc-s%C3%A1ch-k%E1%BA%B9o-i.64843176.11971411515?sp_atk=343b4792-9d0d-4821-bc3f-cf4b940e910e&xptdk=343b4792-9d0d-4821-bc3f-cf4b940e910e,4.3,,1000,2023-10-08 15:31:11.888596+07:00
Áo thun Nam Nữ form rộng tay lỡ Phông Unisex LOVER Local Brand MIDORI FOR MAN,https://shopee.vn/%C3%81o-thun-Nam-N%E1%BB%AF-form-r%E1%BB%99ng-tay-l%E1%BB%A1-Ph%C3%B4ng-Unisex-LOVER-Local-Brand-MIDORI-FOR-MAN-i.462950104.10618998968?sp_atk=05c42326-5402-4172-a250-5f0a928c80ca&xptdk=05c42326-5402-4172-a250-5f0a928c80ca,4.9,,21,2023-10-08 15:31:15.633929+07:00
